"Day","階段","主題","標題","閱讀目標","分鐘","題數","網站"
"46","讀懂條件與事件","每週 Boss","Boss: Reading Picnic Routes","跨公告與訊息安排符合限制的行程。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/46"
"47","讀懂條件與事件","單字與錯題復活","Five Words at the Cafe","重讀句子找出限制語與相對應詞義。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/47"
"48","讀懂條件與事件","校園故事","The Empty Chair Vote","區分未出席與反對，判讀投票紀錄。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/48"
"49","讀懂條件與事件","日常生活","A Parcel for the Next Door","依地址與聯絡方式處理誤送物件。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/49"
"50","讀懂條件與事件","對話／訊息","Which Recording Is the Final One?","辨認訊息中的版本與更正，排除舊檔。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/50"
"51","讀懂條件與事件","科普閱讀","Reading a Shadow Log","依觀察表判斷變化，區別紀錄與推論。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/51"
"52","讀懂條件與事件","公告／資訊閱讀","A Room for Two Activities","從場地公告整理時段、用途與準備時間。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/52"
"53","讀懂條件與事件","每週 Boss","Boss: The Volunteer Bus","跨乘車表與任務條件計算可行時程。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/53"
"54","讀懂條件與事件","單字與錯題復活","The Timetable Detective","練習先找時間關係，再解釋選項。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/54"
"55","讀懂條件與事件","校園故事","The Poster with No Names","從同意與修改流程理解作品分享。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/55"
"56","讀懂條件與事件","日常生活","The Sweater on the Line","追蹤處理衣物的步驟與事後修正。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/56"
"57","讀懂條件與事件","對話／訊息","A Photo Before the Cleanup","核對照片用途與拍攝時間，分辨證據與宣傳。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/57"
"58","讀懂條件與事件","科普閱讀","The Towel Drying Test","找出實驗中的混淆條件與改善方法。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/58"
"59","讀懂條件與事件","公告／資訊閱讀","The Swap Table Rules","整合物品交換規則與票券使用限制。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/59"
"60","讀懂條件與事件","每週 Boss","Boss: A Lunch Order That Fits","把預算、飲食需求及配送門檻一起納入選擇。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/60"
"61","讀懂條件與事件","單字與錯題復活","A Better Way to Keep Notes","使用具體線索複習字義與避免重複錯誤。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/61"
"62","讀懂條件與事件","校園故事","The Team Behind the Scoreboard","辨別被看見的成果與幕後貢獻。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/62"
"63","讀懂條件與事件","日常生活","The Last Seat at the Salon","從候位與服務長度安排日常時間。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/63"
"64","讀懂條件與事件","對話／訊息","The Recipe That Changed Twice","追蹤配方更新，區分必要條件與口味偏好。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/64"
"65","讀懂條件與事件","科普閱讀","Counting Sounds Carefully","辨認主觀評估與測量限制。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/65"
"66","讀懂條件與事件","公告／資訊閱讀","Borrow a Costume, Return a Set","核對借用清單、歸還與污損處理。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/66"
"67","讀懂條件與事件","每週 Boss","Boss: The Costume Count","交叉核對庫存、損壞數與所需整套數。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/67"
"68","讀懂條件與事件","單字與錯題復活","The Card with Two Possible Answers","辨識含糊題幹並用補充線索改善。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/68"
"69","讀懂條件與事件","校園故事","The Question Nobody Asked","以重述確認分工，區分聽見與理解。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/69"
"70","讀懂條件與事件","日常生活","A Different Kind of Gift","由行為與回應推論禮物的意義。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/70"
"71","整合多項資訊","對話／訊息","One Tablet, Two Deadlines","依完成期限與裝置需求協調借用。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/71"
"72","整合多項資訊","科普閱讀","Remembering Shapes in Order","區分測驗順序效應與單一因素結論。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/72"
"73","整合多項資訊","公告／資訊閱讀","Printing Without Surprises","理解收費單位與紙張面數。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/73"
"74","整合多項資訊","每週 Boss","Boss: Six Copies of the Report","整合列印頁數、份數、費率及截止時間。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/74"
"75","整合多項資訊","單字與錯題復活","The Page, the Sheet, and the Side","以語境區分相近單字和計數單位。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/75"
"76","整合多項資訊","校園故事","The Helpful Note That Grew Too Long","依讀者目的選取重點，辨識資訊優先順序。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/76"
"77","整合多項資訊","日常生活","The Map Facing the Wrong Way","比對方向與地標，修正視角造成的誤讀。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/77"
"78","整合多項資訊","對話／訊息","The Interview We Can Actually Use","理解採訪問題與回答資料是否對應。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/78"
"79","整合多項資訊","科普閱讀","Which Surface Holds the Drop?","依描述判斷觀察指標與推論界線。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/79"
"80","整合多項資訊","公告／資訊閱讀","The Community Story Wall","判斷投稿資格、字數與公開選項。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/80"
"81","整合多項資訊","每週 Boss","Boss: The Story Wall Layout","整合版面容量、字數與展示規格。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/81"
"82","整合多項資訊","單字與錯題復活","The Words Behind a Clear Report","從資料用途推論字詞，練習精準表達。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/82"
"83","整合多項資訊","校園故事","The Shortcut in the Group Report","辨識資料來源可支持的結論範圍。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/83"
"84","整合多項資訊","日常生活","The Restaurant List with One Review","判讀評論與個人需求，避免單一經驗過度推廣。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/84"
"85","整合多項資訊","對話／訊息","The Ticket Date Correction","核對訂票訊息中的截止日及更改條件。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/85"
"86","整合多項資訊","科普閱讀","A Chart with a Missing Afternoon","辨識缺失資料，避免把未測量當零。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/86"
"87","整合多項資訊","公告／資訊閱讀","Parking for the Evening Fair","讀取地圖式公告中的方向與通行限制。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/87"
"88","整合多項資訊","每週 Boss","Boss: Arriving Before the Curtain","以不同交通方案的總時間決定可行選項。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/88"
"89","整合多項資訊","單字與錯題復活","The Missing Number Review","用精確字詞描述紀錄、估計與時間限制。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/89"
"90","整合多項資訊","校園故事","A Role That Fits the Voice","以實際需求解讀分工，避免把選角當總能力評價。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/90"
"91","整合多項資訊","日常生活","Watering While They Are Away","整合每日表與例外條件，避免重複執行。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/91"
"92","整合多項資訊","對話／訊息","A Faster Practice, or a Shorter One?","比對運動紀錄的距離與時間，避免只看數字大小。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/92"
"93","整合多項資訊","科普閱讀","Seeds on the Wool Square","辨識樣本觀察與普遍結論的差距。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/93"
"94","整合多項資訊","公告／資訊閱讀","Planetarium Visit Options","從節目表、語言及進場條件選擇場次。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/94"
"95","整合多項資訊","每週 Boss","Boss: A Morning Under the Stars","串連節目、移動、取票與預算條件。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/95"
"96","整合多項資訊","單字與錯題復活","Before, After, and Enough","在新情境中辨別期限、時長與預留時間。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/96"
"97","整合多項資訊","校園故事","The Phone Box Exception","追蹤一般規則與經核准的例外。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/97"
"98","整合多項資訊","日常生活","A Birthday in Two Calendars","核對日期來源與溝通方式，避免替人猜測。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/98"
"99","整合多項資訊","對話／訊息","When the Practice Moves Indoors","追蹤條件式安排及最後通知的效力。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/99"
"100","整合多項資訊","科普閱讀","Two Bins, Different Groups","辨認比例的分母，避免只比件數。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/100"
"101","整合多項資訊","公告／資訊閱讀","The Workshop Deposit","區分費用、押金、付款與退還條件。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/101"
"102","整合多項資訊","每週 Boss","Boss: Workshop Money and Minutes","將押金現金流與課程前後時間分開計算。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/102"
"103","整合多項資訊","單字與錯題復活","Money Words That Change the Answer","區分暫付、永久費用與當下可用金額。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/103"
"104","整合多項資訊","校園故事","A Practice Plan with One Hard Bar","理解練習策略與回饋證據的關係。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/104"
"105","整合多項資訊","日常生活","The Price on the Small Card","辨識一次性費用與持續費用，計算指定期間總額。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/105"
"106","核對來源與觀點","對話／訊息","The Quote with a Missing Sentence","核對引述前後文，分辨刪節是否改變原意。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/106"
"107","核對來源與觀點","科普閱讀","The Sunlit Cloth Squares","判斷資料可支持的結論及未控制變因。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/107"
"108","核對來源與觀點","公告／資訊閱讀","The Exhibit Explorer Card","整合場館票卡與活動場次的適用範圍。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/108"
"109","核對來源與觀點","每週 Boss","Boss: The Misplaced Exhibit Labels","交叉比對清單與物件特徵，找出唯一配對。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/109"
"110","核對來源與觀點","單字與錯題復活","A Word's Job in the Sentence","藉搭配與句中功能辨別抽象字義。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/110"
"111","核對來源與觀點","校園故事","The Science Fair Title Debate","使標題強度符合實際研究證據。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/111"
"112","核對來源與觀點","日常生活","The Refill Pack Comparison","區分總價與單位價格，將需求納入購買。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/112"
"113","核對來源與觀點","對話／訊息","Renewed, but Not Forever","核對借閱延期成功與可續借條件。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/113"
"114","核對來源與觀點","科普閱讀","The Letter Behind the Lens","區分看見的影像與物件本身的變化。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/114"
"115","核對來源與觀點","公告／資訊閱讀","An Audio Walk You Can Pause","理解自助導覽的路線、安全與使用方式。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/115"
"116","核對來源與觀點","每週 Boss","Boss: Two Notices for One Lost Bag","跨兩份訊息找共同特徵並排除衝突。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/116"
"117","核對來源與觀點","單字與錯題復活","One Detail Is Not the Whole Picture","綜合本週字詞理解核對與判斷。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/117"
"118","核對來源與觀點","校園故事","The Survey Box Left Blank","區分未回覆、無意見與反對的資料意義。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/118"
"119","核對來源與觀點","日常生活","The Used Puzzle Check","用清單驗證二手物品，區分描述與確認。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/119"
"120","核對來源與觀點","對話／訊息","The Interview in Two Languages","區分逐字引述、翻譯與摘要。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/120"
"121","核對來源與觀點","科普閱讀","Air, Sunlight, and the Reading","辨認測量對象與感測器環境。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/121"
"122","核對來源與觀點","公告／資訊閱讀","Swimming Lane Booking Notice","區分場地預約與個人入場條件。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/122"
"123","核對來源與觀點","每週 Boss","Boss: What the Club Vote Shows","以投票規則、回覆狀態與假設情境推論。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/123"
"124","核對來源與觀點","單字與錯題復活","The Cards for Careful Claims","區分已知、假設與需確認的資訊。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/124"
"125","核對來源與觀點","校園故事","The Coupon That Starts Tomorrow","核對優惠有效期及最低消費條件。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/125"
"126","核對來源與觀點","日常生活","The Bus Stop Name Has Moved","以路線方向與現場標示核對乘車資訊。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/126"
"127","核對來源與觀點","對話／訊息","The Class Photo Link","辨識連結分享範圍與下載權限。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/127"
"128","核對來源與觀點","科普閱讀","Averages on the Class Thermometer","由每日數據理解平均值無法呈現的差異。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/128"
"129","核對來源與觀點","公告／資訊閱讀","A Notice About Notice Changes","依版本日期與修改摘要辨認現行規則。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/129"
"130","核對來源與觀點","每週 Boss","Boss: Matching the Outlet Slots","在場地限制、時間重疊與器材數量間做安排。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/130"
"131","核對來源與觀點","單字與錯題復活","The Unchanged Detail Hunt","辨別版本差異、持續有效事項及相對位置詞。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/131"
"132","核對來源與觀點","校園故事","Paper for Another Draft","從處理流程推論兼顧節省與隱私的做法。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/132"
"133","核對來源與觀點","日常生活","One Cup, Two Sizes","理解單位定義並換算食譜中的容量。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/133"
"134","核對來源與觀點","對話／訊息","The Route in the Old Recording","比較靜態教材與現場更新，找有效路線。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/134"
"135","核對來源與觀點","科普閱讀","A Faster Melt with Two Changes","辨認多項條件同時改變造成的歸因問題。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/135"
"136","核對來源與觀點","公告／資訊閱讀","The Shared Printer Queue","依佇列規則、截止與確認資訊安排工作。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/136"
"137","核對來源與觀點","每週 Boss","Boss: The Fair Notice Conflict","以新版優先和不變事項整合兩份通知。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/137"
"138","核對來源與觀點","單字與錯題復活","The Queue Card Review","用語境分辨順序、狀態、臨時安排與影響因素。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/138"
"139","核對來源與觀點","校園故事","The Leader Who Listened Last","推論提問順序如何影響團體意見表達。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/139"
"140","核對來源與觀點","日常生活","The Shoes That Fit Yesterday","核對商品尺寸資訊與實際試穿情境。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/140"
"141","解釋推論依據","對話／訊息","The Source We Haven't Opened","區分搜尋摘要、原始資料與已核實資訊。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/141"
"142","解釋推論依據","科普閱讀","Paper Helicopters on a Timer","由重複量測辨別差距與測量不確定性。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/142"
"143","解釋推論依據","公告／資訊閱讀","Reading Night Reservations","整合名額、取消釋出與家長陪同規定。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/143"
"144","解釋推論依據","每週 Boss","Boss: Ten Tables for the Evening","整合桌位、人數與候補狀態的不同計數。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/144"
"145","解釋推論依據","單字與錯題復活","Capacity Is Not a Reservation","複習數據總量、程序狀態與替換。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/145"
"146","解釋推論依據","校園故事","A Larger Page for the Same Story","理解學習工具差異與相同任務目標。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/146"
"147","解釋推論依據","日常生活","The Walk with a Gap in the Line","理解裝置紀錄缺漏與實際行程的差異。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/147"
"148","解釋推論依據","對話／訊息","Delivered Does Not Mean Read","區分訊息傳送、閱讀與回覆確認。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/148"
"149","解釋推論依據","科普閱讀","Pebbles from the Top of the Jar","理解取樣位置與樣本偏差。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/149"
"150","解釋推論依據","公告／資訊閱讀","The Quiet Museum Morning","辨識服務調整與一般入場规则的關係。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/150"
"151","解釋推論依據","每週 Boss","Boss: A Book for Each Reader","跨書目特徵與讀者需求做選擇。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/151"
"152","解釋推論依據","單字與錯題復活","The Review of Small Qualifications","找出限定詞對句意與選項的影響。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/152"
"153","解釋推論依據","校園故事","The Club Name Nobody Understood","從讀者反應調整標示，區別熟悉與清楚。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/153"
"154","解釋推論依據","日常生活","The Second Reminder at the Door","用位置與時機推論提醒效果。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/154"
"155","解釋推論依據","對話／訊息","A Joke Without a Face","從訊息語氣、回應與補充線索判斷人物意思。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/155"
"156","解釋推論依據","科普閱讀","The Damp Patch on the Wall","分辨觀察、可能原因與能區分假設的後續檢查。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/156"
"157","解釋推論依據","公告／資訊閱讀","Student Voices: Recording Invitation","整合錄音活動的參與、同意與公開使用條件。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/157"
"158","解釋推論依據","每週 Boss","Boss: Three Versions of the Same Interview","跨文本比較原話、節錄與標題是否保留原意。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/158"
"159","解釋推論依據","單字與錯題復活","The Words That Changed the Message","複習語氣、假設及同意條件，找出改寫遺失的限制。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/159"
"160","解釋推論依據","校園故事","The Part No One Applauded","由敘事細節推論人物價值觀與態度轉變。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/160"
